sentence1	sentence2	score
Two women are embracing while holding to go packages.	The sisters are hugging goodbye while holding to go packages after just eating lunch.	0.5
Two women are embracing while holding to go packages.	Two woman are holding packages.	1.0
Two women are embracing while holding to go packages.	The men are fighting outside a deli.	0.0
Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.	Two kids in numbered jerseys wash their hands.	1.0
Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.	Two kids at a ballgame wash their hands.	0.5
Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.	Two kids in jackets walk to school.	0.0
A man selling donuts to a customer during a world exhibition event held in the city of Angeles	A woman drinks her coffee in a small cafe.	0.0
A man selling donuts to a customer during a world exhibition event held in the city of Angeles	A man selling donuts to a customer during a world exhibition event while people wait in line behind him.	0.5
A man selling donuts to a customer during a world exhibition event held in the city of Angeles	A man selling donuts to a customer.	1.0
Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.	boys play football	1.0
Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.	dog eats out of bowl	0.0
Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.	boys scoring a touchdown	0.5
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.	A man is repainting a garage	0.5
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.	A man is wearing a blue shirt	1.0
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.	A man is wearing a black shirt	0.0
Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.	A child is reaching to touch the propeller of a plane.	1.0
Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.	A child is reaching to touch the propeller out of curiosity.	0.5
Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.	A child is playing with a ball.	0.0
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.	A woman is doing a cartwheel.	1.0
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.	A woman is fixing her home.	0.0
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.	A woman is doing a cartwheel and falls on her head.	0.0
Two men on bicycles competing in a race.	People are riding bikes.	1.0
Two men on bicycles competing in a race.	Men are riding bicycles on the street.	0.5
Two men on bicycles competing in a race.	A few people are catching fish.	0.0
A young boy in a field of flowers carrying a ball	boy leaving baseball game	0.5
A young boy in a field of flowers carrying a ball	boy in field	1.0
A young boy in a field of flowers carrying a ball	dog in pool	0.0
Families waiting in line at an amusement park for their turn to ride.	The restaurant is very bad.	0.0
Families waiting in line at an amusement park for their turn to ride.	People are waiting in line at a restaurant.	0.0
Families waiting in line at an amusement park for their turn to ride.	People are waiting to see a movie.	0.0
A senior is waiting at the window of a restaurant that serves sandwiches.	A person waits to be served his food.	1.0
A senior is waiting at the window of a restaurant that serves sandwiches.	A man is waiting in line for the bus.	0.0
A senior is waiting at the window of a restaurant that serves sandwiches.	A man is looking to order a grilled cheese sandwich.	0.5
Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.	A person in a suit	1.0
Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.	Nobody has a suit	0.0
Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.	A tall person in a suit	0.5
Two women having drinks and smoking cigarettes at the bar.	Two women are at a bar.	1.0
Two women having drinks and smoking cigarettes at the bar.	Three women are at a bar.	0.0
Two women having drinks and smoking cigarettes at the bar.	Women are celebrating at a bar.	0.5
At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A single man is next to a camera	0.0
At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A crowd is dancing	0.5
At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A crowd is in front of a camera	0.5
